id,time_start,latitude,longitude,speed,signal
3013,2024-03-05 08:03:55.001,-32.8779325000000000,116.4301750000000000,33,-105
3013,2024-03-05 08:03:55.001,-32.8777677777777778,116.4305727777777778,29,-105
3013,2024-03-05 08:03:55.001,-32.8776563888888889,116.4309958333333333,31,-105
3013,2024-03-05 08:03:55.001,-32.8772605555555556,116.4310822222222222,37,-105
3013,2024-03-05 08:03:55.001,-32.8767325000000000,116.4311255555555556,44,-95
3013,2024-03-05 08:03:55.001,-32.8761597222222222,116.4312058333333333,47,-95
3013,2024-03-05 08:03:55.001,-32.8755505555555556,116.4312663888888889,50,-90
3013,2024-03-05 08:03:55.001,-32.8749191666666667,116.4313377777777778,54,-90
3013,2024-03-05 08:03:55.001,-32.8741866666666667,116.4314452777777778,57,-90
3013,2024-03-05 08:03:55.001,-32.8734727777777778,116.4315594444444444,57,-90
3013,2024-03-05 08:03:55.001,-32.8727711111111111,116.4316822222222222,56,-90
3013,2024-03-05 08:03:55.001,-32.8720725000000000,116.4318075000000000,56,-90
3013,2024-03-05 08:03:55.001,-32.8713719444444444,116.4319419444444444,56,-100
3013,2024-03-05 08:03:55.001,-32.8706722222222222,116.4320716666666667,56,-100
3013,2024-03-05 08:03:55.001,-32.8699686111111111,116.4321919444444444,57,-100
3013,2024-03-05 08:03:55.001,-32.8692422222222222,116.4323333333333333,60,-100
3013,2024-03-05 08:03:55.001,-32.8684938888888889,116.4324755555555556,59,-100
3013,2024-03-05 08:03:55.001,-32.8677916666666667,116.4326027777777778,53,-100
3013,2024-03-05 08:03:55.001,-32.8671816666666667,116.4327102777777778,46,-100
3013,2024-03-05 08:03:55.001,-32.8666630555555556,116.4328069444444444,42,-100
3013,2024-03-05 08:03:55.001,-32.8661075000000000,116.4329083333333333,43,-95
3013,2024-03-05 08:03:55.001,-32.8655588888888889,116.4329988888888889,45,-95
3013,2024-03-05 08:03:55.001,-32.8649908333333333,116.4330977777777778,45,-100
3013,2024-03-05 08:03:55.001,-32.8644583333333333,116.4331919444444444,38,-100
3013,2024-03-05 08:03:55.001,-32.8640877777777778,116.4330772222222222,28,-100
3013,2024-03-05 08:03:55.001,-32.8637650000000000,116.4330033333333333,27,-100
3013,2024-03-05 08:03:55.001,-32.8635841666666667,116.4332977777777778,26,-95
3013,2024-03-05 08:03:55.001,-32.8636294444444444,116.4337044444444444,26,-95
3013,2024-03-05 08:03:55.001,-32.8636019444444444,116.4340694444444444,19,-100
3013,2024-03-05 08:03:55.001,-32.8634755555555556,116.4341461111111111,17,-100
3013,2024-03-05 08:03:55.001,-32.8632288888888889,116.4339111111111111,31,-100
3013,2024-03-05 08:03:55.001,-32.8629027777777778,116.4336430555555556,34,-100
3013,2024-03-05 08:03:55.001,-32.8624141666666667,116.4336819444444444,40,-100
3013,2024-03-05 08:03:55.001,-32.8618650000000000,116.4337744444444444,47,-100
3013,2024-03-05 08:03:55.001,-32.8612394444444444,116.4338908333333333,53,-95
3013,2024-03-05 08:03:55.001,-32.8605652777777778,116.4340102777777778,55,-95
3013,2024-03-05 08:03:55.001,-32.8598758333333333,116.4341347222222222,55,-100
3013,2024-03-05 08:03:55.001,-32.8592002777777778,116.4342566666666667,53,-100
3013,2024-03-05 08:03:55.001,-32.8585488888888889,116.4343700000000000,52,-100
3013,2024-03-05 08:03:55.001,-32.8579025000000000,116.4344897222222222,52,-100
3013,2024-03-05 08:03:55.001,-32.8572463888888889,116.4346052777777778,53,-100
3013,2024-03-05 08:03:55.001,-32.8565886111111111,116.4347258333333333,53,-100
3013,2024-03-05 08:03:55.001,-32.8559202777777778,116.4348519444444444,54,-100
3013,2024-03-05 08:03:55.001,-32.8552769444444444,116.4349669444444444,54,-100
3013,2024-03-05 08:03:55.001,-32.8545616666666667,116.4350952777777778,55,-100
3013,2024-03-05 08:03:55.001,-32.8538733333333333,116.4352141666666667,55,-100
3013,2024-03-05 08:03:55.001,-32.8531783333333333,116.4353394444444444,56,-95
3013,2024-03-05 08:03:55.001,-32.8524808333333333,116.4354650000000000,56,-95
3013,2024-03-05 08:03:55.001,-32.8517758333333333,116.4355922222222222,57,-100
3013,2024-03-05 08:03:55.001,-32.8510669444444444,116.4357180555555556,56,-100
3013,2024-03-05 08:03:55.001,-32.8503744444444444,116.4358441666666667,55,-100
3013,2024-03-05 08:03:55.001,-32.8497058333333333,116.4359636111111111,53,-100
3013,2024-03-05 08:03:55.001,-32.8490411111111111,116.4360802777777778,53,-100
3013,2024-03-05 08:03:55.001,-32.8483638888888889,116.4362058333333333,56,-100
3013,2024-03-05 08:03:55.001,-32.8476544444444444,116.4363355555555556,58,-95
3013,2024-03-05 08:03:55.001,-32.8469280555555556,116.4364675000000000,58,-95
3013,2024-03-05 08:03:55.001,-32.8462205555555556,116.4365941666666667,55,-100
3013,2024-03-05 08:03:55.001,-32.8455488888888889,116.4367127777777778,52,-100
3013,2024-03-05 08:03:55.001,-32.8450052777777778,116.4368147222222222,32,-90
3013,2024-03-05 08:03:55.001,-32.8446283333333333,116.4369025000000000,28,-90
3014,2024-03-05 08:08:55.001,-32.8443452777777778,116.4369905555555556,22,-100
3014,2024-03-05 08:08:55.001,-32.8440791666666667,116.4370597222222222,20,-100
3014,2024-03-05 08:08:55.001,-32.8438608333333333,116.4370788888888889,15,-100
3014,2024-03-05 08:08:55.001,-32.8436466666666667,116.4371130555555556,19,-100
3014,2024-03-05 08:08:55.001,-32.8434052777777778,116.4371836111111111,20,-100
3014,2024-03-05 08:08:55.001,-32.8431738888888889,116.4373291666666667,20,-100
